Station,Location,x,y
Control A,Int,-0.595994,38.114361
Control A,Int,-0.598101,38.10851
Control A,Int,-0.590126,38.105126
Control B,Ext,-0.584517,38.09399
Control B,Ext,-0.580876,38.092933
Control B,Ext,-0.576831,38.088285
2000mA,Int,-0.586812,38.083497
1000mA,Int,-0.591908,38.080948
500mA,Int,-0.594619,38.080246
250mA,Int,-0.595475,38.079239
100mA,Int,-0.595649,38.078466
2000mB,Ext,-0.579974,38.078408
50mA,Int,-0.596651,38.078391
0mA,Int,-0.596928,38.077993
0mA,Int,-0.597344,38.077703
0mA,Int,-0.597806,38.077345
1000mB,Ext,-0.584746,38.076092
500mB,Ext,-0.58683,38.074458
250mB,Ext,-0.588309,38.073603
100mB,Ext,-0.589343,38.073264
50mB,Ext,-0.589836,38.072622
0mB,Ext,-0.589817,38.072613
0mB,Ext,-0.589159,38.072532
0mB,Ext,-0.590593,38.071868
