Station,Distance,Farm,TFS,ASV,abund
1,0m,Ext,466.252599,ASV_001,802
1,0m,Ext,571.0789951,ASV_001,492
1,0m,Ext,185.7362293,ASV_001,411
1,0m,Int,110.1372753,ASV_001,306
1,0m,Int,278.641928,ASV_001,819
1,0m,Int,289.7236522,ASV_001,652
2,0m,Ext,202.3760388,ASV_001,984
2,0m,Ext,174.5004892,ASV_001,775
2,0m,Ext,402.0303347,ASV_001,839
2,0m,Int,500.1597489,ASV_001,371
2,0m,Int,632.0241119,ASV_001,NA
2,0m,Int,496.2736783,ASV_001,545
3,0m,Ext,441.4777159,ASV_001,1099
3,0m,Ext,704.9504701,ASV_001,808
3,0m,Ext,180.0307276,ASV_001,NA
3,0m,Int,466.252599,ASV_001,560
3,0m,Int,110.1372753,ASV_001,493
3,0m,Int,357.640233,ASV_001,556
1,50m,Ext,427.9162698,ASV_001,971
1,50m,Ext,438.0475846,ASV_001,508
1,50m,Ext,398.9066961,ASV_001,1229
1,50m,Int,276.4769752,ASV_001,387
1,50m,Int,247.8757333,ASV_001,417
1,50m,Int,411.548776,ASV_001,NA
1,100m,Ext,134.8991612,ASV_001,239
1,100m,Ext,103.4747421,ASV_001,720
1,100m,Ext,143.5850504,ASV_001,736
1,100m,Int,154.0269435,ASV_001,284
1,100m,Int,194.6352989,ASV_001,350
1,100m,Int,40.26680955,ASV_001,664
1,250m,Ext,121.8910417,ASV_001,409
1,250m,Ext,134.8991612,ASV_001,238
1,250m,Ext,101.0815428,ASV_001,271
1,250m,Int,139.1743613,ASV_001,211
1,250m,Int,162.6706403,ASV_001,454
1,250m,Int,207.1674794,ASV_001,572
1,500m,Ext,91.33440445,ASV_001,149
1,500m,Ext,354.8614903,ASV_001,220
1,500m,Ext,82.52716775,ASV_001,150
1,500m,Int,170.464582,ASV_001,77
1,500m,Int,276.4769752,ASV_001,94
1,500m,Int,194.6352989,ASV_001,188
1,1000m,Ext,34.18296926,ASV_001,172
1,1000m,Ext,42.85950948,ASV_001,151
1,1000m,Ext,213.7329942,ASV_001,59
1,1000m,Int,103.4747421,ASV_001,54
1,1000m,Int,133.8510407,ASV_001,85
1,2000m,Ext,32.1151392,ASV_001,142
1,2000m,Ext,36.95598261,ASV_001,118
1,2000m,Ext,41.86824004,ASV_001,132
1,2000m,Int,150.4645556,ASV_001,74
1,2000m,Int,14.72177286,ASV_001,42
1,2000m,Int,24.06425502,ASV_001,51
1,Control,Ext,34.18296926,ASV_001,114
1,Control,Ext,47.06490212,ASV_001,137
1,Control,Ext,42.85950948,ASV_001,168
1,Control,Int,26.63237405,ASV_001,NA
1,Control,Int,41.86824004,ASV_001,32
1,Control,Int,47.80487134,ASV_001,37
2,Control,Ext,127.7311348,ASV_001,155
2,Control,Ext,45.26470299,ASV_001,228
2,Control,Ext,34.45063898,ASV_001,119
2,Control,Int,16.67861809,ASV_001,24
