SampleID,Farm,Distance,Station,Rep,Sandfine,Silt,Clay,MO,TFS,TN,TOC
Ext_0m_1_a,Ext,0m,1,a,0.780497925,4.480912863,94.73858921,9.723290296,466.252599,0.098054826,0.876146972
Ext_0m_1_b,Ext,0m,1,b,1.641991342,10.58701299,81.43463203,9.883592324,571.0789951,0.117523476,1.015082121
Ext_0m_1_c,Ext,0m,1,c,0.580241935,8.293951613,91.12580645,7.643695456,185.7362293,0.0885,0.82746172
Int_0m_1_a,Int,0m,1,a,1.339823009,3.444690265,85.8420354,7.491027508,110.1372753,0.127531409,1.158854723
Int_0m_1_b,Int,0m,1,b,2.42080292,6.48649635,88.69854015,8.316834165,278.641928,0.139443383,1.144165039
Int_0m_1_c,Int,0m,1,c,4.579622642,11.22339623,76.48415094,10.61054899,289.7236522,0.216900885,1.475636601
Ext_0m_2_a,Ext,0m,2,a,0.36443662,8.208450704,91.02077465,7.853198073,202.3760388,0.124241412,1.342021823
Ext_0m_2_b,Ext,0m,2,b,0.828363636,7.240727273,90.13127273,5.841228826,174.5004892,0.172517627,1.281134963
Ext_0m_2_c,Ext,0m,2,c,0.927898551,1.773550725,90.47536232,7.822667312,402.0303347,0.101295047,0.865898788
Int_0m_2_a,Int,0m,2,a,3.861904762,8.930769231,80.12747253,9.84773336,500.1597489,0.096,0.797446132
Int_0m_2_b,Int,0m,2,b,2.715264798,5.94517134,85.93613707,7.432319893,632.0241119,0.105266981,0.888714373
Int_0m_2_c,Int,0m,2,c,1.256923077,5.533846154,91.52192308,6.970886534,496.2736783,0.151256084,1.1857421399999999
Ext_0m_3_a,Ext,0m,3,a,1.206299213,6.542913386,90.8484252,15.46149324,441.4777159,0.12804058199999999,1.129821658
Ext_0m_3_b,Ext,0m,3,b,2.449673203,11.23594771,75.41045752,6.773287877,704.9504701,0.170860648,1.450703025
Ext_0m_3_c,Ext,0m,3,c,1.108450704,15.5943662,82.19342723,8.156696499,180.0307276,0.0961,1.195862055
Int_0m_3_a,Int,0m,3,a,6.025301205,9.857429719,76.41204819,9.688330788,466.252599,0.175104484,1.853183627
Int_0m_3_b,Int,0m,3,b,1.79704918,3.332131148,94.00491803,7.582191867,110.1372753,0.0888,0.649411917
Int_0m_3_c,Int,0m,3,c,0.780625,7.035,91.770625,18.42890556,357.640233,0.109318316,0.882556319
Ext_50m_1_a,Ext,50m,1,a,0.786341463,10.92097561,87.87707317,9.233727926,427.9162698,0.159153491,1.716164112
Ext_50m_1_b,Ext,50m,1,b,1.047208122,7.520812183,91.4319797,15.33440203,438.0475846,0.142884761,1.405229807
Ext_50m_1_c,Ext,50m,1,c,0.515822785,16.04556962,83.43860759,7.778342654,398.9066961,0.18189086,1.811648011
Int_50m_1_a,Int,50m,1,a,1.034408602,8.767204301,89.55591398,7.302873219,276.4769752,0.164267808,1.709054947
Int_50m_1_b,Int,50m,1,b,0.51728972,9.514485981,89.77009346,6.662719266,247.8757333,0.178899601,1.56412375
Int_50m_1_c,Int,50m,1,c,0.482352941,9.573796791,89.43368984,6.99827761,411.548776,0.116167068,1.469075918
Ext_100m_1_a,Ext,100m,1,a,0.735185185,21.27222222,76.83333333,7.621302725,134.8991612,0.149731576,1.566721678
Ext_100m_1_b,Ext,100m,1,b,0.076470588,3.753393665,96.17013575,7.202798189,103.4747421,0.0994,0.863119543
Ext_100m_1_c,Ext,100m,1,c,0.526737968,12.77860963,86.69465241,9.931294701,143.5850504,0.121394858,1.285518527
Int_100m_1_a,Int,100m,1,a,0.254761905,13.20277778,86.25119048,7.087477586,154.0269435,0.0984,0.971117735
Int_100m_1_b,Int,100m,1,b,0.461132075,7.034716981,91.68188679,6.342767824,194.6352989,0.119757794,1.228741288
Int_100m_1_c,Int,100m,1,c,0.910162602,17.10162602,81.98821138,8.169743206,40.26680955,0.0985,1.188968897
Ext_250m_1_a,Ext,250m,1,a,0.36097561,30.87902439,68.55512195,7.141735767,121.8910417,0.135859236,1.642025352
Ext_250m_1_b,Ext,250m,1,b,0.195594714,9.778854626,90.02555066,7.863088482,134.8991612,0.130153894,1.43470335
Ext_250m_1_c,Ext,250m,1,c,0.322267206,31.81619433,67.86153846,9.017153454,101.0815428,0.112313919,1.188585281
Int_250m_1_a,Int,250m,1,a,0.086243386,6.451322751,93.46243386,9.372217959,139.1743613,0.164121196,1.60241127
Int_250m_1_b,Int,250m,1,b,0.093167702,6.185093168,93.72173913,6.37310655,162.6706403,0.124988213,1.489724994
Int_250m_1_c,Int,250m,1,c,0.259728507,12.79276018,86.94751131,9.292763158,207.1674794,0.164997414,1.608726621
Ext_500m_1_a,Ext,500m,1,a,0.258918919,11.73189189,88.00918919,7.210305797,91.33440445,0.136507303,1.295206666
Ext_500m_1_b,Ext,500m,1,b,0.209375,30.47552083,69.31510417,9.868289263,354.8614903,0.133341789,1.464496017
Ext_500m_1_c,Ext,500m,1,c,0.21719457,28.56289593,71.2199095,9.007553596,82.52716775,0.15014334,1.533793807
Int_500m_1_a,Int,500m,1,a,0.16875,5.73625,94.095,7.089641239,170.464582,0.12365634,1.523880601
Int_500m_1_b,Int,500m,1,b,0.216587678,7.023222749,92.76018957,7.184417942,276.4769752,0.139591679,1.514588356
Int_500m_1_c,Int,500m,1,c,0.313227513,5.921693122,93.76507937,7.153963546,194.6352989,0.136207834,1.601288319
Ext_1000m_1_a,Ext,1000m,1,a,0.3421875,23.72083333,75.93697917,7.019119045,34.18296926,0.13437283,1.345197916
Ext_1000m_1_b,Ext,1000m,1,b,0.283060109,17.45191257,82.26502732,8.316165084,42.85950948,0.14749749,1.396155953
Ext_1000m_1_c,Ext,1000m,1,c,0.21333333300000001,5.371111111,94.41555556,8.677606321,213.7329942,0.123593882,1.357985377
Int_1000m_1_a,Int,1000m,1,a,0.722429907,5.872897196,93.4046729,8.584373713,103.4747421,0.157729492,1.555196762
Int_1000m_1_b,Int,1000m,1,b,0.410135135,7.625675676,91.96418919,10.75624214,133.8510407,0.161598489,1.656557798
Ext_2000m_1_a,Ext,2000m,1,a,0.304733728,32.06686391,67.62840237,8.566455652,32.1151392,0.159150288,1.531940579
Ext_2000m_1_b,Ext,2000m,1,b,0.154976303,9.35971564,90.48530806,19.58809381,36.95598261,0.142523706,1.436856031
Ext_2000m_1_c,Ext,2000m,1,c,0.148407643,21.53821656,78.3133758,7.171248561,41.86824004,0.155264527,1.431884885
Int_2000m_1_a,Int,2000m,1,a,0.978688525,16.73688525,82.28442623,12.57408079,150.4645556,0.180737302,2.243787527
Int_2000m_1_b,Int,2000m,1,b,0.560843373,16.58253012,82.85662651,11.82719859,14.72177286,0.17027308,1.682301402
Int_2000m_1_c,Int,2000m,1,c,0.308588957,14.53312883,85.15828221,9.562168031,24.06425502,0.169395074,1.819803238
Ext_Control_1_a,Ext,Control,1,a,0.367251462,24.18187135,75.45087719,8.853441314,34.18296926,0.110954307,1.296882033
Ext_Control_1_b,Ext,Control,1,b,0.385344828,9.481034483,88.77887931,6.957479351,47.06490212,0.149187282,1.554084897
Ext_Control_1_c,Ext,Control,1,c,0.356756757,22.27837838,77.36486486,8.430595516,42.85950948,0.155118853,1.781146765
Int_Control_1_a,Int,Control,1,a,0.350721801,19.17385205,80.47542615,11.94693025,26.63237405,0.166492224,2.058109522
Int_Control_1_b,Int,Control,1,b,0.40199005,20.9761194,78.62189055,11.38653421,41.86824004,0.159470215,2.091995716
Int_Control_1_c,Int,Control,1,c,0.299453552,17.3715847,82.32896175,10.06046744,47.80487134,0.158161208,1.88786447
Ext_Control_2_a,Ext,Control,2,a,0.661450382,5.835877863,93.50267176,8.888620634,127.7311348,0.141597167,1.683056474
Ext_Control_2_b,Ext,Control,2,b,0.396703297,32.00824176,67.4543956,10.40723982,45.26470299,0.143737644,1.584332585
Ext_Control_2_c,Ext,Control,2,c,0.352325581,17.70988372,81.9377907,10.8395999,34.45063898,0.174883559,1.988975406
Int_Control_2_a,Int,Control,2,a,0.480446927,26.50502793,73.01452514,13.47695178,16.67861809,0.133025229,2.004102468
Int_Control_2_b,Int,Control,2,b,0.626595745,14.59787234,84.66329787,11.80924022,46.69922388,0.163437799,2.631336689
Int_Control_2_c,Int,Control,2,c,0.498067633,13.71062802,85.79130435,13.736203,47.80487134,0.172127515,2.179989338
Ext_Control_3_a,Ext,Control,3,a,0.734078212,28.76089385,70.39385475,10.40557952,24.25269015,0.133,1.798886657
Ext_Control_3_b,Ext,Control,3,b,0.423888889,19.71555556,79.38388889,11.66629112,203.9607443,0.143326402,1.830131173
Ext_Control_3_c,Ext,Control,3,c,0.339664804,18.0547486,81.60558659,7.612932081,16.67861809,0.158283621,2.004050493
Int_Control_3_a,Int,Control,3,a,0.961170213,9.396276596,89.64255319,12.32365408,55.44145201,0.143431216,2.267076254
Int_Control_3_b,Int,Control,3,b,0.869417476,9.966504854,88.95728155,9.758256517,110.1372753,0.166442379,1.79970634
Int_Control_3_c,Int,Control,3,c,0.547058824,10.44751131,88.59547511,10.24771679,79.99207324,0.195357233,2.29031992
