SampleID,I,II,III,IV,V,Farm,Distance,Station,Rep,Sandfine,Silt,Clay,MO,TFS,TN,TOC,bMBI_JA,bMBI_keely,bMBI_borja
Ext_0m_1_a,2.4555461473327687,0,0,41.151566469093986,56.39288738357324,Farm 1,0 m,1,a,0.780497925,4.480912863,94.73858921,9.723290296,466.252599,0.098054826,0.876146972,3.834052598493421,8.82472480948349,5.235393734123624
Ext_0m_1_b,3.237612612612613,0,0.45045045045045046,46.0304054054054,50.281531531531535,Farm 1,0 m,1,b,1.641991342,10.58701299,81.43463203,9.883592324,571.0789951,0.117523476,1.015082121,3.487039682907892,8.348817567567568,5.101773648648649
Ext_0m_1_c,12.546762589928056,0.7194244604316548,2.3597122302158273,47.16546762589928,37.20863309352518,Farm 1,0 m,1,c,0.580241935,8.293951613,91.12580645,7.643695456,185.7362293,0.0885,0.82746172,2.7144399918996345,6.9048920863309355,4.436546762589928
Ext_0m_2_a,2.588235294117647,0,0,48.26143790849673,49.15032679738562,Farm 1,0 m,2,a,0.36443662,8.208450704,91.02077465,7.853198073,202.3760388,0.124241412,1.342021823,3.4217747128324247,8.31111111111111,5.12078431372549
Ext_0m_2_b,2.2272170004086638,0,0,51.532488761749086,46.24029423784226,Farm 1,0 m,2,b,0.828363636,7.240727273,90.13127273,5.841228826,174.5004892,0.172517627,1.281134963,3.258897766368686,8.125459746628525,5.093379648549244
Ext_0m_2_c,2.06661316211878,0,0,47.49197431781702,50.44141252006421,Farm 1,0 m,2,c,0.927898551,1.773550725,90.47536232,7.822667312,402.0303347,0.101295047,0.865898788,3.4986036907802354,8.427568218298557,5.163623595505619
Ext_0m_3_a,1.3606584915168822,0,0,43.50747522257685,55.13186628590626,Farm 1,0 m,3,a,1.206299213,6.542913386,90.8484252,15.46149324,441.4777159,0.12804058199999999,1.129821658,3.7697567737162867,8.791197715437596,5.265748362170334
Ext_0m_3_b,0.6568658116984674,0,0,48.45167344385361,50.891460744447926,Farm 1,0 m,3,b,2.449673203,11.23594771,75.41045752,6.773287877,704.9504701,0.170860648,1.450703025,3.5336079542208085,8.529558961526432,5.2338129496402885
Ext_0m_3_c,7.677784770295784,0,3.5871617369414728,41.47262429200755,47.26242920075519,Farm 1,0 m,3,c,1.108450704,15.5943662,82.19342723,8.156696499,180.0307276,0.0961,1.195862055,3.3231352396341527,7.852737570799244,4.8096286972938955
Ext_1000m_1_a,58.09015273811002,7.736247361231839,22.82379237551223,3.948838942009189,7.400968583136719,Farm 1,1000 m,1,a,0.3421875,23.72083333,75.93697917,7.019119045,34.18296926,0.13437283,1.345197916,1.0533122664421775,1.8863156587607102,1.422513349062461
Ext_1000m_1_b,57.48031496062992,8.43889079082506,25.45361177678877,2.2595001711742553,6.3676823005819925,Farm 1,1000 m,1,b,0.283060109,17.45191257,82.26502732,8.316165084,42.85950948,0.14749749,1.396155953,1.039357190651617,1.7672885997945909,1.3739301609038
Ext_1000m_1_c,59.02065799540933,9.54858454475899,25.93726090283091,1.9892884468247896,3.5042081101759757,Farm 1,1000 m,1,c,0.21333333300000001,5.371111111,94.41555556,8.677606321,213.7329942,0.123593882,1.357985377,0.8869347107265605,1.4413159908186686,1.2211170619739862
Ext_100m_1_a,49.161490683229815,6.754658385093168,20.88509316770186,9.580745341614907,13.618012422360248,Farm 1,100 m,1,a,0.735185185,21.27222222,76.83333333,7.621302725,134.8991612,0.149731576,1.566721678,1.4300961351962713,2.8410714285714285,1.9760869565217392
Ext_100m_1_b,31.929347826086957,4.951690821256038,15.564613526570048,12.032004830917874,35.52234299516908,Farm 1,100 m,1,b,0.076470588,3.753393665,96.17013575,7.202798189,103.4747421,0.0994,0.863119543,2.7023678143246084,5.405495169082126,3.213994565217391
Ext_100m_1_c,27.60812491363825,4.601354152273041,17.20326101975957,13.265165123670029,37.32209479065911,Farm 1,100 m,1,c,0.526737968,12.77860963,86.69465241,9.931294701,143.5850504,0.121394858,1.285518527,2.8483627410379935,5.7270277739394775,3.4213762608815808
Ext_2000m_1_a,64.87708947885939,8.377581120943953,20.039331366764994,1.6519174041297935,5.054080629301868,Farm 1,2000 m,1,a,0.304733728,32.06686391,67.62840237,8.566455652,32.1151392,0.159150288,1.531940579,0.8499719105916994,1.415929203539823,1.1044247787610617
Ext_2000m_1_b,65.12046026609133,8.989572096368214,16.19920891765552,4.0992448759439055,5.591513843941028,Farm 1,2000 m,1,b,0.154976303,9.35971564,90.48530806,19.58809381,36.95598261,0.142523706,1.436856031,0.8413353860031765,1.4967637540453074,1.1407766990291262
Ext_2000m_1_c,64.66822794691647,9.586260733801717,19.078844652615146,1.4988290398126463,5.16783762685402,Farm 1,2000 m,1,c,0.148407643,21.53821656,78.3133758,7.171248561,41.86824004,0.155264527,1.431884885,0.8625119907185106,1.4112412177985947,1.0936768149882903
Ext_250m_1_a,44.994110718492344,7.605586404172976,22.04273935722699,8.56469796399125,16.79286555611644,Farm 1,250 m,1,a,0.36097561,30.87902439,68.55512195,7.141735767,121.8910417,0.135859236,1.642025352,1.6634546842863855,3.2187447417129396,2.1683493185259968
Ext_250m_1_b,52.17671421997239,7.758858720662679,23.20294523699954,5.6051541647491945,11.256327657616199,Farm 1,250 m,1,b,0.195594714,9.778854626,90.02555066,7.863088482,134.8991612,0.130153894,1.43470335,1.316716525737755,2.44348826507133,1.740082834790612
Ext_250m_1_c,50.083215977467674,8.449622327486878,23.684547433107156,6.759697861989503,11.022916399948791,Farm 1,250 m,1,c,0.322267206,31.81619433,67.86153846,9.017153454,101.0815428,0.112313919,1.188585281,1.3324137338974555,2.498015618998848,1.8028421456919728
